
============= 评测总结 =============
评测时间: 2025-10-08 03:51:26
处理文件: 评测/0823所有判断.jsonl
总问题数: 2020
总得分: 2810/4040
准确率: 69.6%
运行时间: 2666.62 秒 (44.44 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
中国古代史           446      666      892      74.7%      5.09秒
历史文献学           80       114      160      71.2%      2.90秒
中国古代文学          9        14       18       77.8%      2.23秒
考古              1292     1738     2584     67.3%      2.85秒
中国古典文献学         40       62       80       77.5%      2.40秒
历史地理学           71       88       142      62.0%      2.80秒
汉语言文字学          44       68       88       77.3%      2.37秒
文物              33       50       66       75.8%      2.56秒
超出本人能力范围        1        2        2        100.0%      1.60秒
非以上学科领域或无学科领域   4        8        8        100.0%      2.78秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
西汉              148      198      296      66.9%      2.61秒
东周              137      208      274      75.9%      2.88秒
商、新石器时代（含夏）     59       80       118      67.8%      2.82秒
秦、西汉            49       64       98       65.3%      2.97秒
西汉之后            47       74       94       78.7%      13.46秒
东周、西周           24       34       48       70.8%      2.60秒
东周、秦、西周、西汉、西汉之后 1        2        2        100.0%      2.58秒
新石器时代（含夏）       905      1218     1810     67.3%      2.89秒
商               245      338      490      69.0%      2.76秒
商、西周            17       24       34       70.6%      2.94秒
西周              104      138      208      66.3%      2.50秒
西汉、西汉之后         43       64       86       74.4%      15.03秒
西周、西汉、西汉之后      1        2        2        100.0%      1.64秒
秦               47       64       94       68.1%      2.76秒
东周、秦、西周、西汉      5        8        10       80.0%      2.76秒
东周、秦、西汉         17       30       34       88.2%      3.45秒
旧石器时代           63       90       126      71.4%      2.66秒
东周、新石器时代（含夏）    5        10       10       100.0%      2.90秒
东周、商、新石器时代（含夏）、旧石器时代、西周 1        2        2        100.0%      2.08秒
商、西汉之后          2        4        4        100.0%      1.19秒
商、西汉、西汉之后       1        2        2        100.0%      1.46秒
秦、西汉、西汉之后       11       18       22       81.8%      2.74秒
东周、商、西周         21       30       42       71.4%      2.61秒
西周、西汉之后         2        4        4        100.0%      1.65秒
东周、西汉           12       20       24       83.3%      3.27秒
东周、秦、西汉、西汉之后    3        6        6        100.0%      2.40秒
东周、西汉、西汉之后      1        2        2        100.0%      1.39秒
超出本人能力范围        6        10       12       83.3%      3.13秒
东周、秦            8        16       16       100.0%      2.74秒
东周、商、新石器时代（含夏）、秦、西周、西汉、西汉之后 2        4        4        100.0%      3.51秒
东周、西汉之后         2        4        4        100.0%      4.11秒
东周、商、秦、西周、西汉    2        4        4        100.0%      1.99秒
新石器时代（含夏）、西汉之后  5        10       10       100.0%      2.20秒
东周、商、新石器时代（含夏）、西周 9        8        18       44.4%      2.87秒
新石器时代（含夏）、西汉    1        2        2        100.0%      2.16秒
东周、西周、西汉        1        2        2        100.0%      4.64秒
商、新石器时代（含夏）、西周  6        8        12       66.7%      3.40秒
新石器时代（含夏）、旧石器时代 3        4        6        66.7%      1.65秒
东周、商、新石器时代（含夏）、秦、西周、西汉 1        2        2        100.0%      1.55秒
新石器时代（含夏）、西周    2        2        4        50.0%      2.96秒
东周、商            1        0        2        0.0%      4.33秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
nan             2020     2810     4040     69.6%      3.32秒
==================================
