
============= 评测总结 =============
评测时间: 2025-10-08 00:52:57
处理文件: 评测/0823所有简答.jsonl
总问题数: 544
总得分: 4123/5440
准确率: 75.8%
运行时间: 10826.45 秒 (180.44 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
考古              328      2474     3280     75.4%      59.00秒
汉语言文字学          28       212      280      75.7%      57.89秒
文物              10       70       100      70.0%      235.71秒
中国古代史           110      846      1100     76.9%      57.09秒
中国古代文学          2        15       20       75.0%      43.53秒
历史地理学           40       304      400      76.0%      58.45秒
中国古典文献学         23       179      230      77.8%      65.85秒
非以上学科领域或无学科领域   3        23       30       76.7%      51.16秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
商               48       365      480      76.0%      54.11秒
新石器时代（含夏）       181      1362     1810     75.2%      75.50秒
商、新石器时代（含夏）     12       80       120      66.7%      48.44秒
秦               20       146      200      73.0%      41.66秒
秦、西汉            29       224      290      77.2%      56.21秒
西汉              76       575      760      75.7%      55.43秒
新石器时代（含夏）、旧石器时代 5        40       50       80.0%      39.71秒
东周、秦、西汉         14       106      140      75.7%      54.73秒
东周              42       311      420      74.0%      55.58秒
西周              38       298      380      78.4%      60.39秒
东周、西周           13       99       130      76.2%      52.17秒
东周、商、西周         9        68       90       75.6%      57.84秒
非以上时段或无时段       2        16       20       80.0%      74.92秒
旧石器时代、非以上时段或无时段 1        8        10       80.0%      75.80秒
东周、商、新石器时代（含夏）、西周 4        32       40       80.0%      41.12秒
西汉、西汉之后         3        22       30       73.3%      24.77秒
商、新石器时代（含夏）、西周  2        17       20       85.0%      130.81秒
东周、西汉           6        45       60       75.0%      56.89秒
商、西周            17       135      170      79.4%      54.53秒
东周、秦、西周         1        7        10       70.0%      48.33秒
东周、秦、西周、西汉      5        40       50       80.0%      72.27秒
新石器时代（含夏）、秦、西汉  1        8        10       80.0%      36.62秒
东周、秦            6        48       60       80.0%      58.39秒
商、西汉            1        6        10       60.0%      53.77秒
东周、商、秦、西周       1        8        10       80.0%      67.25秒
东周、西周、西汉        3        25       30       83.3%      65.18秒
东周、商、西周、西汉      1        8        10       80.0%      72.94秒
东周、商、新石器时代（含夏）、西汉 1        8        10       80.0%      72.70秒
东周、商            1        7        10       70.0%      76.15秒
东周、新石器时代（含夏）    1        9        10       90.0%      61.00秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
分析推论            253      1960     2530     77.5%      66.69秒
事实呈现            35       209      350      59.7%      36.04秒
特征描述            26       194      260      74.6%      37.98秒
事实呈现、分析推论       67       504      670      75.2%      84.51秒
事实呈现、检索         5        34       50       68.0%      25.66秒
分析推论、识读         5        39       50       78.0%      51.17秒
事实呈现、特征描述       11       85       110      77.3%      53.27秒
事实呈现、识读         2        17       20       85.0%      28.52秒
分析推论、检索         9        70       90       77.8%      60.70秒
分析推论、特征描述       41       321      410      78.3%      49.22秒
识读              1        4        10       40.0%      23.59秒
事实呈现、分析推论、特征描述  26       203      260      78.1%      54.73秒
事实呈现、信度考据、分析推论、特征描述 9        70       90       77.8%      47.25秒
信度考据、分析推论       26       203      260      78.1%      70.41秒
事实呈现、信度考据、分析推论  17       126      170      74.1%      60.13秒
分析推论、检索、特征描述    3        23       30       76.7%      49.05秒
信度考据            2        15       20       75.0%      35.24秒
信度考据、分析推论、特征描述  3        24       30       80.0%      57.29秒
信度考据、分析推论、检索    1        7        10       70.0%      67.96秒
信度考据、分析推论、识读    1        7        10       70.0%      31.86秒
事实呈现、信度考据、分析推论、检索 1        8        10       80.0%      113.32秒
==================================
